CommentID,Comment,LikeCount
Ugxw9fEiSl0kuBHRBTx4AaABAg,ELI5: Proteins basically work like a lock and key. We can&#39;t pick the lock if we don&#39;t know what the lock looks like. Alphafold attempts to give us an idea of what the lock looks like so we can better pick it.<br><br>Does a 5 year old even know about lock picking?,1
UgzIhudAI3RvSCAuMWd4AaABAg,WARNING: Opening Pandora&#39;s Box brings serious consequences.,0
UgxDIDHXY9rRa-J2F314AaABAg,History in the making,0
UgxZirSZ3KI14SVjPHx4AaABAg,Great to hear hoping for a revolution in drug designing field❤️❤️❤️❤️,0
UgztI1LlpVVdnKWjjdd4AaABAg,hä was,0
UgyxavzzMHL1iBMMcC94AaABAg,Relevance not clear to me. Need explanation. But probably only for a select few anyway congrats,0
UgzPC0SPi78xQERgH1x4AaABAg,And in schools we are still learning about human genome project 2002🤣🤣😂,8
Ugyh5KAV3R3gMN0xOdl4AaABAg,amazing,0
UgxvdmhELn5VscUQAcV4AaABAg,Deepmind is in my mind the pinnacle of inspiration!  Amazing work.,2
UgzCdzGhwMxqDl42Y3J4AaABAg,ARN vaccines and the this?? If you are not getting where this is going by now you are lost.,0
Ugyj92ih5tinXV8-HnF4AaABAg,I&#39;m new to all of this: what is so extraordinary about it?,1
UgwbMH_hsHm01oX2mDV4AaABAg,AlphaFold killed the game! Impressive. Can&#39;t wait to see what will come out of this on the coming years ...,1
Ugyv5ULqKAJYnBFPnLx4AaABAg,Still waiting for those plastic eating enzymes 🤗,0
UgzjYhfflPIHqTarhHR4AaABAg,Any update on Alphafold 2?,0
UgwcLHLVXIjX_tQuVmp4AaABAg,That&#39;s truly amazing!,0
Ugx1pWm7GuEHZwWn4ex4AaABAg,Amazing work!!,0
Ugze3XU8dM55ngoynjN4AaABAg,"Well, I can tell my grandchildren that I was a witness to history.",56
Ugx0jT1PDdUqUMmU6Hx4AaABAg,"Might this allow to cure all those pesky diseases you&#39;d otherwise carry to your grave like herpes, hiv, etc? I&#39;m so scared of ever getting something like that and knowing that it could be eradicated would be such  reliev and so good for humanity. So much suffering and wasted time could be turned into productive and live-worthy lifetime. I&#39;m no english native - I hope you get my point. There is way more money and value in being healthy than in keeping people medicated! Sick people aren&#39;t productive or creative.<br><br>Go Google Go!<br><br>Please don&#39;t become corrupt or greedy. You can actually resque this world!",6
Ugy-cQnvrsP-tfrdDQl4AaABAg,Finally open-sourced after RoseTTaFold? OK...,1
UgxJnUj6dYbYBIb5RWl4AaABAg,I don&#39;t think people realize how profound this is. It is like that moment when the first modern map of the world was published but more significant.,57
UgzF6OcFpo46AMmREml4AaABAg,"Simple translation:<br>What Google did for search, this does for proteins. GAME CHANGING!",13
Ugwo2BnGT4DGmUGWSON4AaABAg,DeepMind is on another level,9
Ugw6nnD7uxUEDpPA8nx4AaABAg,I&#39;m amused,0
UgzFa65NBhuks1r0jrV4AaABAg,I have thought for a couple of years now that this would be a useful approach.  What&#39;s next?,0
UgyBpVuXFFHDRohCSQJ4AaABAg,Viene muy bien para una mejor comprensión de la bioquímica,3
UgyfwyCDqznPE-COSlV4AaABAg,"WOW~ these days I was tired of studying RL, but seeing this video gives me strength again. So exciting :",5
UgyAzvUhWv0GLAvf1op4AaABAg,As a certain fellow would say &quot;What a time to be alive&quot;,251
UgyQLoSaQ6qbS3nK4ed4AaABAg,So exciting! Thank you for doing this important work!,0
Ugxv2CYKmR7wZBvSm8R4AaABAg,"I like how, with essentially zero explanation, everyone understands how amazing this is.",83
UgzTsOhGYQoKsOlVS3d4AaABAg,This might be the most important AI model on the planet right now,132
Ugz5UfQUDQ5tK2FVePt4AaABAg,Amazing work !,1
UgyWV6a6So4o0dpcBxB4AaABAg,"Very, very cool.  The Singularity draws nearer!",10
UgwdP5ZBZ_CSTxH_aE94AaABAg,"Amazing work guys, exciting times!",6
UgwzJIycX2cRORSE9yB4AaABAg,0th,1
UgzWgRr9lNoLfquhoyR4AaABAg,Amazing!!,0
